c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,suma,sumb,sum
Nairobi,-1.283346742,36.81665686,Jinan,36.67498232,116.9950187,Nairobi to Jinan,1,,Cardiff,51.49999473,-3.22500757,0,1,1
Addis Ababa,9.033310363,38.70000443,Hangzhou,30.24997398,120.1700187,Addis Ababa to Hangzhou,1,,Fuzhou,26.07999595,119.3000459,0,1,1
Pretoria,-25.70692055,28.22942908,Changsha,28.19996991,112.969993,Pretoria to Changsha,1,,Shenyang,41.80497927,123.4499735,0,1,1
Entebbe,0.060395527,32.46002356,Beijing,39.92889223,116.3882857,Entebbe to Beijing,1,,Mogadishu,2.066681334,45.36667761,0,1,1
Gaborone,-24.64631346,25.91194779,Hong Kong,22.3049809,114.1850093,Gaborone to Hong Kong,1,,Hannover,52.36697023,9.716657266,0,1,1
Nairobi,-1.283346742,36.81665686,Seoul,37.5663491,126.999731,Nairobi to Seoul,1,,,,,,,
Yamoussoukro,6.81838096,-5.275502565,Abu Dhabi,24.46668357,54.36659338,Yamoussoukro to Abu Dhabi,1,,,,,,,
Tete,-16.17003497,33.58000688,Johannesburg,-26.17004474,28.03000972,Tete to Johannesburg,1,,,,,,,
Entebbe,0.060395527,32.46002356,Lagos,6.443261653,3.391531071,Entebbe to Lagos,1,,,,,,,
Miami,25.7876107,-80.22410608,Addis Ababa,9.033310363,38.70000443,Miami to Addis Ababa,1,,,,,,,
Lilongwe,-13.98329507,33.78330196,Singapore,1.293033466,103.8558207,Lilongwe to Singapore,1,,,,,,,
Luanda,-8.838286114,13.23442704,Dubai,25.22999615,55.27997432,Luanda to Dubai,1,,,,,,,
Lubumbashi,-11.6800248,27.48001745,Nairobi,-1.283346742,36.81665686,Lubumbashi to Nairobi,1,,,,,,,
Luanda,-8.838286114,13.23442704,Seoul,37.5663491,126.999731,Luanda to Seoul,1,,,,,,,
Jakarta,-6.174417705,106.8294376,Hong Kong,22.3049809,114.1850093,Jakarta to Hong Kong,1,,,,,,,
Conakry,9.531522846,-13.68023503,Beijing,39.92889223,116.3882857,Conakry to Beijing,1,,,,,,,
